% ARFF file Created by Marsyas (ArffFileSink)
@relation mfcc.arff
@attribute MFCC0_Power_powerFFT_AudioCh0 real
@attribute MFCC1_Power_powerFFT_AudioCh0 real
@attribute MFCC2_Power_powerFFT_AudioCh0 real
@attribute MFCC3_Power_powerFFT_AudioCh0 real
@attribute MFCC4_Power_powerFFT_AudioCh0 real
@attribute MFCC5_Power_powerFFT_AudioCh0 real
@attribute MFCC6_Power_powerFFT_AudioCh0 real
@attribute MFCC7_Power_powerFFT_AudioCh0 real
@attribute MFCC8_Power_powerFFT_AudioCh0 real
@attribute MFCC9_Power_powerFFT_AudioCh0 real
@attribute MFCC10_Power_powerFFT_AudioCh0 real
@attribute MFCC11_Power_powerFFT_AudioCh0 real
@attribute MFCC12_Power_powerFFT_AudioCh0 real

@data
-46.689093,6.666496,0.536253,2.548191,0.817503,0.335645,0.439931,-0.325935,0.369102,0.365466,-0.702048,-0.149813,-0.101592
-45.369831,5.717361,1.072035,2.051395,0.643621,0.434639,0.167621,0.137528,0.426019,0.556016,-0.301474,-0.265883,-0.127713
-47.368829,6.172722,0.393200,1.732587,-0.332636,-0.448795,0.365258,-0.285550,-0.010843,-0.057241,-0.385793,0.177335,-0.263898
-47.223646,7.115729,0.143823,1.953804,0.152041,0.172972,0.971677,0.033698,0.377567,0.266556,-0.825824,0.286334,0.239231
-48.370693,7.993741,-0.316164,2.535472,0.386752,0.163547,0.988674,0.146902,-0.059592,0.255016,-0.693893,0.408728,-0.036679
-48.043463,7.864607,-0.427108,2.188309,0.725787,-0.248525,1.342796,0.902484,-0.499085,0.009373,-1.302466,0.039821,0.284454
-47.447263,6.405226,0.766999,2.242596,0.723913,0.701247,0.827743,0.565483,-0.174102,-1.080543,-0.659464,0.921180,0.774798
-47.204681,6.140206,0.744420,1.519826,0.723805,0.594559,0.471664,0.652331,0.420940,-0.526617,-1.162147,0.305998,0.297579
-48.727596,8.299899,-0.485077,2.169778,1.047205,-0.278559,0.791538,0.734838,0.077384,-0.117217,-0.824416,0.003928,0.365793
-49.038025,8.577241,-0.191710,2.223667,0.503276,0.277832,0.831955,1.165979,0.167388,0.024959,-1.064570,0.460244,0.116033
